Newspaper_Code,Newspaper_Name,Date,Year,Month,Day,Total_Pages,Max_Page_Number,Has_Gaps,Has_Duplicates
CWN,Central Weekly News (krung dbyang gsar 'gyur),1963-02-12,1963,2,12,8,4,No,Yes
CWN,Central Weekly News (krung dbyang gsar 'gyur),1963-03-10,1963,3,10,8,4,No,Yes
CWN,Central Weekly News (krung dbyang gsar 'gyur),1963-04-23,1963,4,23,8,4,No,Yes
CWN,Central Weekly News (krung dbyang gsar 'gyur),1963-04-28,1963,4,28,8,4,No,Yes
CWN,Central Weekly News (krung dbyang gsar 'gyur),1963-05-05,1963,5,5,8,4,No,Yes
CWN,Central Weekly News (krung dbyang gsar 'gyur),1963-05-12,1963,5,12,8,4,No,Yes
CWN,Central Weekly News (krung dbyang gsar 'gyur),1963-05-19,1963,5,19,8,4,No,Yes
CWN,Central Weekly News (krung dbyang gsar 'gyur),1963-05-26,1963,5,26,8,4,No,Yes
CWN,Central Weekly News (krung dbyang gsar 'gyur),1963-06-02,1963,6,2,8,4,No,Yes
CWN,Central Weekly News (krung dbyang gsar 'gyur),1963-06-16,1963,6,16,8,4,No,Yes
CWN,Central Weekly News (krung dbyang gsar 'gyur),1963-07-14,1963,7,14,8,4,No,Yes
CWN,Central Weekly News (krung dbyang gsar 'gyur),1963-07-21,1963,7,21,8,4,No,Yes
CWN,Central Weekly News (krung dbyang gsar 'gyur),1963-08-04,1963,8,4,8,4,No,Yes
CWN,Central Weekly News (krung dbyang gsar 'gyur),1963-08-18,1963,8,18,8,4,No,Yes
CWN,Central Weekly News (krung dbyang gsar 'gyur),1963-08-25,1963,8,25,8,4,No,Yes
CWN,Central Weekly News (krung dbyang gsar 'gyur),1963-09-01,1963,9,1,8,4,No,Yes
CWN,Central Weekly News (krung dbyang gsar 'gyur),1963-09-15,1963,9,15,16,8,No,Yes
CWN,Central Weekly News (krung dbyang gsar 'gyur),1963-09-29,1963,9,29,8,4,No,Yes
CWN,Central Weekly News (krung dbyang gsar 'gyur),1963-10-10,1963,10,10,16,8,No,Yes
CWN,Central Weekly News (krung dbyang gsar 'gyur),1963-10-27,1963,10,27,8,4,No,Yes
CWN,Central Weekly News (krung dbyang gsar 'gyur),1963-11-03,1963,11,3,8,4,No,Yes
CWN,Central Weekly News (krung dbyang gsar 'gyur),1963-11-10,1963,11,10,8,4,No,Yes
CWN,Central Weekly News (krung dbyang gsar 'gyur),1963-12-01,1963,12,1,8,4,No,Yes
CWN,Central Weekly News (krung dbyang gsar 'gyur),1963-12-15,1963,12,15,8,4,No,Yes
CWN,Central Weekly News (krung dbyang gsar 'gyur),1963-12-22,1963,12,22,8,4,No,Yes
CWN,Central Weekly News (krung dbyang gsar 'gyur),1963-12-29,1963,12,29,8,4,No,Yes
CWN,Central Weekly News (krung dbyang gsar 'gyur),1964-01-05,1964,1,5,8,4,No,Yes
CWN,Central Weekly News (krung dbyang gsar 'gyur),1964-01-12,1964,1,12,8,4,No,Yes
DTF,Defend Tibet's Freedom (rang dbang srung skyob gsar shog),1963-07-31,1963,7,31,16,16,No,No
DTF,Defend Tibet's Freedom (rang dbang srung skyob gsar shog),1963-08-10,1963,8,10,18,18,No,No
DTF,Defend Tibet's Freedom (rang dbang srung skyob gsar shog),1963-08-20,1963,8,20,16,16,No,No
DTF,Defend Tibet's Freedom (rang dbang srung skyob gsar shog),1963-08-31,1963,8,31,16,16,No,No
DTF,Defend Tibet's Freedom (rang dbang srung skyob gsar shog),1963-09-10,1963,9,10,16,16,No,No
